name,ra,dec,porb,fx_limit,fx,fx_max,pulse_period
AX J0100.9-7120,15.24208,-71.33444,,,  0.0200,,
AX J0100.2-7110,15.05042,-71.17083,,,  0.0070,,
RX J0532.3-7107,83.09458,-71.12556,,,  0.0060,,
1SAX J0544.1-7100,86.02625,-71.01389,286,,  0.3600,,  96.0800
XMMU J053115.4-705350,82.81417,-70.89722,,,  0.0250,,
RX J0501.6-7034,75.34958,-70.55917,,,  0.0110,,
RX J0527.1-7005,81.78292,-70.08333,,,  0.0025,,
RX J0523.2-7004,80.81208,-70.07,,,  0.0020,,
RX J0529.4-6952,82.35792,-69.86972,,,  0.0025,,
3A 0540-697,84.91458,-69.74361,  4.220,,  3.0000,25,
RX J0541.4-6936,85.3425,-69.60806,,,  0.0005,,
RX J0520.5-6932,80.12625,-69.53444, 24.400,,123,,
RX J0516.0-6916,79.00042,-69.26917,,,  0.0700,,
RX J0546.8-6851,86.70125,-68.86306,,,  0.0100,,
RX J0507.6-6847,76.90792,-68.79694,,,  0.0900,,
RX J0541.5-6833,85.40458,-68.54222,,,  0.0015,,
XMMU J054134.7-682550,85.39458,-68.43056,,,  0.0100,,
RX J0456.9-6824,74.22542,-68.40972,,,  0.0026,,
RX J0512.6-6717,78.17417,-67.28972,,,  0.0083,,
RX J0535.0-6700,83.77458,-67.00444,241,,  0.0400,,
RX J0535.6-6651,83.92333,-66.86611,,,  0.0090,,
1A 0535-668,83.92167,-66.86444, 16.700,,180,,   0.0690
H 0544-665,86.065,-66.58306,,,  1.8000,,
RX J0502.9-6626,75.715,-66.44028,,,  5.7000,,   4.0635
2A 0532-664,83.19208,-66.3675,  1.400,<,  3.0000,60,  13.5000
RX J0524.2-6620,81.05292,-66.34722,,,  0.0078,,
RX J0457.2-6612,74.30167,-66.20278,,,  0.0030,,
RX J0531.2-6607,82.8075,-66.1175, 25.400,,  1.4000,,  13.7000
RX J0530.7-6606,82.6975,-66.10417,,,  0.0008,,
RX J0529.8-6556,82.45167,-65.9475,,,  0.1700,,  69.5000
RX J0527.3-6552,81.84875,-65.87639,,,  0.0065,,
RX J0532.5-6551,83.13583,-65.86133,,,  0.0300,,
XMMU J053011.2-655122,82.54417,-65.8575,,,  0.0060,, 272.0000
RX J0543.9-6539,85.99167,-65.66444,,,  0.0050,,
RX J0532.4-6535,83.10542,-65.58583,,,  0.0100,,
RX J0535.8-6530,83.97417,-65.50944,,,  0.5000,,
RX J0531.5-6518,82.90042,-65.30444,,,  0.0460,,
1H 0538-641,84.73458,-64.08417,  1.700,<,  1.7000,44,
